run,epoch,updates,trainCrossEntropy,devScore,rawExactBoards,reliableExactBoards,confidentWrongBoards,occupiedCorrect,occupied
degraded,29,609,0.006503385447320484,0.262679880252108,15,15,1,549,577
degraded,30,630,0.006680285646801903,0.2633069404406482,15,15,1,549,577
degraded,31,651,0.008504503539630346,0.2639717781298364,15,15,1,549,577
degraded,32,672,0.006764555261248634,0.26444202445586246,15,15,1,549,577
degraded,33,693,0.007633839334760394,0.2648958734932351,15,15,1,549,577
degraded,34,714,0.006612156118665423,0.2653836355440525,15,15,1,549,577
degraded,35,735,0.006478585657619294,0.2657372772675724,15,15,1,549,577
degraded,36,756,0.006758863017672584,0.2660784075431785,15,15,1,549,577
degraded,37,777,0.006246231851123628,0.2664432831779078,15,15,1,549,577
degraded,38,798,0.006448165291831607,0.2668062039934179,15,15,1,549,577
degraded,39,819,0.005637940196763901,0.26708710897526966,15,15,1,549,577
degraded,40,840,0.005996092444374448,0.26729295515598583,15,15,1,549,577
